time,avg_speed,max_speed,min_speed,time_fast,time_slow,percent_fast,percent_slow,stops,percent_stop,avg_acc,max_acc,min_acc,avg_dec,max_dec,min_dec
1109,8.7985,64.623,0,154,513,0.13886,0.46258,399,0.35978,0.23757,24.373,0,0.25451,26.798,0
960,7.8776,29.44,0,90,456,0.09375,0.475,216,0.225,0.24315,9.5956,0,0.24315,11.256,0
686,9.1151,25.145,0,72,270,0.10496,0.39359,123,0.1793,0.22081,2.6669,0,0.23106,3.3948,0
910,12.656,20.18,0,1,156,0.0010989,0.17143,114,0.12527,0.1826,2.2321,0,0.1826,2.7714,0
797,8.4291,22.099,0,22,302,0.027604,0.37892,200,0.25094,0.17889,2.0697,0,0.18108,2.6053,0
1188,15.603,28.209,0,249,83,0.2096,0.069865,28,0.023569,0.25004,2.9032,0,0.26007,4.0456,0
400,7.0377,22.095,0,20,171,0.05,0.4275,116,0.29,0.17881,1.8787,0,0.23008,2.7051,0
728,0.76821,14.223,0,0,670,0,0.92033,601,0.82555,0.064701,1.7037,0,0.066549,2.0072,0
249,1.9125,15.321,0,0,198,0,0.79518,149,0.59839,0.16427,1.1665,0,0.18439,2.7191,0
1712,12.219,25.544,0,185,240,0.10806,0.14019,141,0.08236,0.19673,3.0857,0,0.2105,2.7848,0
183,2.75,8.6608,0,0,131,0,0.71585,49,0.26776,0.14346,1.0394,0,0.18086,1.0063,0
802,9.1648,28.867,0,100,255,0.12469,0.31796,180,0.22444,0.23554,2.3608,0,0.23763,2.5808,0
631,10.606,27.453,0,68,136,0.10777,0.21553,65,0.10301,0.28466,6.4825,0,0.30172,7.0113,0
873,12.889,23.369,0,170,152,0.19473,0.17411,96,0.10997,0.2147,3.9955,0,0.21989,2.7424,0
674,1.2545,10.653,0,0,573,0,0.85015,488,0.72404,0.10718,2.2663,0,0.10748,1.9555,0
213,5.7269,16.407,0,0,99,0,0.46479,69,0.32394,0.25945,2.1065,0,0.27879,2.8218,0
760,9.0033,43.628,0,100,287,0.13158,0.37763,132,0.17368,0.25153,11.748,0,0.25289,12.968,0
780,8.8885,23.973,0,93,283,0.11923,0.36282,143,0.18333,0.25093,2.8359,0,0.25353,3.1388,0
811,7.4886,21.823,0,66,417,0.081381,0.51418,251,0.30949,0.18669,2.4313,0,0.18718,2.8428,0
351,0.41782,2.2023,0,0,351,0,1,255,0.7265,0.10419,1.1011,0,0.10624,0.83815,0
577,12.623,27.331,0,88,86,0.15251,0.14905,58,0.10052,0.28688,2.5913,0,0.29029,2.8336,0
1239,7.3368,28.294,0,199,742,0.16061,0.59887,611,0.49314,0.13427,2.4408,0,0.14902,3.8035,0
989,7.3841,29.421,0,100,471,0.10111,0.47624,212,0.21436,0.28301,5.7547,0,0.28301,3.7972,0
553,14.065,42.912,0,128,104,0.23146,0.18807,64,0.11573,0.23707,10.718,0,0.23707,11.054,0
591,8.7835,23.707,0,78,255,0.13198,0.43147,204,0.34518,0.18537,2.4007,0,0.19768,2.8318,0
774,9.0754,27.37,0,109,273,0.14083,0.35271,200,0.2584,0.22465,2.4331,0,0.23757,2.6165,0
532,3.8623,15.982,0,0,309,0,0.58083,133,0.25,0.28149,2.6895,0,0.28673,2.965,0
573,11.353,64.435,0,104,148,0.1815,0.25829,78,0.13613,0.29105,19.435,0,0.34804,19.6,0
586,10.987,28.007,0,93,150,0.1587,0.25597,80,0.13652,0.21115,2.6352,0,0.22493,2.4757,0
1564,4.5245,26.945,0,97,1083,0.06202,0.69246,834,0.53325,0.15316,2.6962,0,0.15526,3.5289,0
1588,7.8432,30.959,0,172,853,0.10831,0.53715,530,0.33375,0.20153,6.7795,0,0.20538,5.1176,0
426,11.735,24.461,0,80,111,0.18779,0.26056,51,0.11972,0.27395,3.4233,0,0.31503,3.4588,0
887,8.3437,23.754,0,95,322,0.1071,0.36302,177,0.19955,0.2386,2.684,0,0.23932,3.412,0
922,15.31,25.739,0,320,87,0.34707,0.09436,32,0.034707,0.22065,2.6986,0,0.24374,15.951,0
932,6.7005,24.8,0,88,457,0.094421,0.49034,311,0.33369,0.19405,3.1947,0,0.19405,2.5544,0
682,10.867,29.051,0,112,211,0.16422,0.30938,144,0.21114,0.29088,3.268,0,0.29286,4.0749,0
545,12.15,21.752,0,26,107,0.047706,0.19633,87,0.15963,0.19508,2.1878,0,0.20468,2.4668,0
885,11.895,22.812,0,58,153,0.065537,0.17288,114,0.12881,0.22329,3.6692,0,0.23124,3.6962,0
422,3.2075,15.981,0,0,260,0,0.61611,151,0.35782,0.25001,2.8236,0,0.25582,2.8425,0
186,3.1904,9.829,0,0,106,0,0.56989,78,0.41935,0.14568,1.8608,0,0.16798,1.4253,0
235,4.5293,17.957,0,0,134,0,0.57021,72,0.30638,0.2338,2.7244,0,0.23741,2.4487,0
675,4.4537,15.743,0,0,362,0,0.5363,188,0.27852,0.24378,2.3551,0,0.24418,2.3256,0
776,2.7672,20.446,0,1,564,0.0012887,0.7268,507,0.65335,0.11997,2.4694,0,0.13683,3.6905,0
243,3.1847,12.567,0,0,156,0,0.64198,75,0.30864,0.25214,2.5636,0,0.25301,1.9493,0
227,4.4253,15.881,0,0,146,0,0.64317,108,0.47577,0.22041,3.4818,0,0.23219,2.9517,0
416,12.535,27.244,0,101,93,0.24279,0.22356,37,0.088942,0.24194,2.8217,0,0.25155,3.9128,0
1370,7.5355,28.189,0,66,574,0.048175,0.41898,441,0.3219,0.18622,7.5244,0,0.20244,7.3376,0
421,16.247,27.281,0,153,53,0.36342,0.12589,27,0.064133,0.19367,1.8321,0,0.23822,3.1959,0
201,5.6487,12.625,0,0,85,0,0.42289,65,0.32338,0.13525,1.7543,0,0.17557,1.3712,0
754,12.699,29.433,0,189,216,0.25066,0.28647,160,0.2122,0.22738,2.8423,0,0.24388,20.184,0
589,7.5722,27.58,0,39,246,0.066214,0.41766,112,0.19015,0.23951,2.3689,0,0.26702,3.6703,0
323,6.9139,16.745,0,0,111,0,0.34365,75,0.2322,0.29829,2.5305,0,0.29895,2.8596,0
433,2.7056,13.376,0,0,297,0,0.68591,197,0.45497,0.19293,1.7899,0,0.19351,2.689,0
